license_plate,city_name,plate_name,latitude,longitude
A,Augsburg,Augsburg,48.371666666667,10.898333333333
AA,Ostalbkreis,AAlen,48.835,10.093333333333
AB,Aschaffenburg,AschaffenBurg,49.976702777778,9.1477472222222
ABG,Landkreis Altenburger Land,AltenBurG,50.96,12.4
ABI,Landkreis Anhalt-Bitterfeld,Anhalt-BItterfeld,51.77,12.07
AC,Städteregion Aachen,AaChen / Aix la Chapelle,50.7687,6.097
AE,Vogtlandkreis,AuErbach,50.48,12.12
AH,Kreis Borken,AHaus,51.8515,6.8424
AIB,Landkreis München,AIBling,48.07,11.63
AIC,Landkreis Aichach-Friedberg,AIChach,48.43,11.05
AK,Landkreis Altenkirchen (Westerwald),AltenKirchen,50.75,7.74
ALF,Landkreis Hildesheim,ALFeld,52.09,9.94
ALZ,Landkreis Aschaffenburg,ALZenau,50.01,9.24
AM,Amberg,AMberg,49.44522,11.858
AN,Ansbach,ANsbach,49.300833333333,10.571666666667
ANA,Erzgebirgskreis,ANnAberg,50.61,12.95
ANG,Landkreis Uckermark,ANGermünde,53.21,13.86
ANK,Kreis Anklam,ANKlam,52.075555555556,7.0066666666667
AÖ,Landkreis Altötting,AltÖtting,48.21,12.71
AP,Landkreis Weimarer Land,APolda,51,11.41
APD,Landkreis Weimarer Land,APolDa,51,11.41
ARN,Ilm-Kreis,ARNstadt,50.74,10.97
ART,Kyffhäuserkreis,ARTern,51.32,10.98
AS,Landkreis Amberg-Sulzbach,"Amberg, Sulzbach",49.49,11.8
ASL,Salzlandkreis,ASchersLeben,51.85,11.64
ASZ,Erzgebirgskreis,"Aue, SchwarZenberg",50.61,12.95
AT,Kreis Altentreptow,AltenTreptow,,
AU,Erzgebirgskreis,AUe,50.61,12.95
AUR,Landkreis Aurich,AURich,53.5,7.37
AW,Landkreis Ahrweiler,AhrWeiler,50.546357,7.10366
AZ,Landkreis Alzey-Worms,AlZey,49.76,8.16
AZE,Landkreis Anhalt-Bitterfeld,Landkreis Anhalt-ZErbst (bis 2007),51.77,12.07
B,Berlin,Berlin,52.518611111111,13.408333333333
BA,Bamberg,BAmberg,49.891666666667,10.891666666667
BAD,Baden-Baden,BADen-Baden,48.761944444444,8.2408333333333
BAR,Landkreis Barnim,BARnim,52.82,13.7
BB,Landkreis Böblingen,BöBlingen,48.682222222222,9.0097222222222
BBG,Salzlandkreis,BernBurG,51.85,11.64
BBL,Brandenburg,BrandenBurgische Landesregierung,52.459028,13.015833
BC,Landkreis Biberach,BiberaCh,48.096111111111,9.7927777777778
BCH,Neckar-Odenwald-Kreis,BuCHen,49.349166666667,9.1419444444444
BD,Deutscher Bundestag,BundesDienst[3],50.54,7.0905555555556
BE,Kreis Warendorf,BEckum,51.9414,7.9862
BED,Landkreis Mittelsachsen,Brand-ErbisDorf,50.913097,13.354863
BER,Landkreis Barnim,BERnau,52.82,13.7
BF,Kreis Steinfurt,BurgsteinFurt,52.21,7.58
BGD,Landkreis Berchtesgadener Land,BerchtesGaDen,47.7,12.9
BGL,Landkreis Berchtesgadener Land,BerchtesGadener Land,47.7,12.9
BH,Ortenaukreis,BüHl,48.464722222222,7.9411111111111
BI,Bielefeld,BIelefeld,52.02182,8.53509
BID,Landkreis Marburg-Biedenkopf,BIeDenkopf,50.786173,8.771918
BIN,Landkreis Mainz-Bingen,BINgen,49.92,8.08
BIR,Landkreis Birkenfeld,BIRkenfeld,49.71,7.28
BIT,Eifelkreis Bitburg-Prüm,BITburg,50.06,6.41
BIW,Landkreis Bautzen,BIschofsWerda,51.18,14.43
BK,Rems-Murr-Kreis,BacKnang,48.829722222222,9.3161111111111
LandkreisBörde,Börde,Sachsen-Anhalt,52.0606,11.4453
BKS,Landkreis Bernkastel-Wittlich,BernKaStel,49.92,6.97
BL,Zollernalbkreis,BaLingen,48.273611111111,8.8575
BLB,Kreis Siegen-Wittgenstein,BerLeBurg,50.94,8.19
BLK,Burgenlandkreis,BurgenLandKreis,51.15,11.88
BM,Rhein-Erft-Kreis,BergheiM,50.9513,6.6308
BN,Bonn,BonN,50.733991666667,7.0998138888889
BNA,Landkreis Leipzig,BorNA,51.116666666667,12.5
BO,Bochum,BOchum,51.48012,7.21662
BÖ,Landkreis Börde,BÖrde,52.22,11.35
BOG,Landkreis Straubing-Bogen,BOGen,48.9,12.58
BOH,Kreis Borken,BOcHolt,51.8515,6.8424
BOR,Kreis Borken,BORken,51.8515,6.8424
BOT,Bottrop,BOTtrop,51.524722222222,6.9227777777778
BP,Bundespolizei,BundesPolizei,49.974722222222,6.5255555555556
BR,Landkreis Karlsruhe,BRuchsal,49.07,8.52
BRA,Landkreis Wesermarsch,BRAke,53.35,8.39
BRB,Brandenburg an der Havel,BRandenBurg,52.414166666667,12.554166666667
BRG,Landkreis Jerichower Land,BuRG,52.26,12.03
BRK,Landkreis Bad Kissingen,BRücKenau,50.22,9.96
BRL,Landkreis Goslar,BRaunLage,51.87,10.4
BRV,Landkreis Rotenburg (Wümme),BRemerVörde,53.25,9.31
BS,Braunschweig,BraunSchweig,52.269166666667,10.521111111111
BSB,Landkreis Osnabrück,BerSenBrück,52.38,8.05
BSK,Landkreis Oder-Spree,BeeSKow,52.24,14.22
BT,Bayreuth,BayreuTh,49.9475,11.5775
BTF,Landkreis Anhalt-Bitterfeld,BitTerFeld,51.77,12.07
BÜD,Wetteraukreis,BÜDingen,50.333333333333,8.7524305555556
BUL,Landkreis Amberg-Sulzbach,BUrgLengenfeld,49.49,11.8
BÜR,Kreis Paderborn,BÜRen,51.71,8.74
BÜS,Büsingen am Hochrhein,BÜSingen,47.696944444444,8.6902777777778
BÜZ,Landkreis Rostock,BÜtZow,53.91,12.25
BW,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,Bundes-Wasserstraßen- und Schifffahrtsverwaltung,,
BWL,Landesregierung,Baden-Württembergischer Landtag,,
BYL,"Bayern, Landesregierung",BaYerischer Landtag,48.139722222222,11.574444444444
BZ,Landkreis Bautzen,BautZen,51.18,14.43
C,Chemnitz,Chemnitz,50.832222222222,12.924166666667
CA,Landkreis Oberspreewald-Lausitz,CAlau,51.518888888889,14.005555555556
CAS,Kreis Recklinghausen,CAStrop,51.608888888889,7.2047222222222
CB,Cottbus,CottBus,51.760662,14.334342
CE,Landkreis Celle,CElle,52.71,10.1
CHA,Landkreis Cham,CHAm,49.208539,12.667589
CLP,Landkreis Cloppenburg,CLopPenburg,52.91,7.9
CLZ,Landkreis Goslar,CLausthal-Zellerfeld,51.87,10.4
CO,Coburg,COburg,50.266666666667,10.966666666667
COC,Landkreis Cochem-Zell,COChem,50.13,7.18
COE,Kreis Coesfeld,COEsfeld,51.9442,7.1744
CR,Landkreis Schwäbisch Hall,CRailsheim,49.116111111111,9.7372222222222
CUX,Landkreis Cuxhaven,CUXhaven,53.62,8.81
CW,Landkreis Calw,CalW,48.7,8.74
D,Düsseldorf,Düsseldorf,51.225555555556,6.7827777777778
DA,Landkreis Darmstadt-Dieburg,DArmstadt,49.898472222222,8.6755555555556
DAH,Landkreis Dachau,DAcHau,48.33,11.36
DAN,Landkreis Lüchow-Dannenberg,DANnenberg,53.02,11.12
DAU,Landkreis Vulkaneifel,DAUn,50.24,6.75
DBR,Landkreis Rostock,DoBeRan,53.91,12.25
DD,Dresden,DresDen,51.049259,13.73836
DE,Dessau-Roßlau,DEssau,51.860555555556,12.246944444444
DEG,Landkreis Deggendorf,DEGgendorf,48.78,13
DEL,Delmenhorst,DELmenhorst,53.049722222222,8.6338888888889
DGF,Landkreis Dingolfing-Landau,DinGolFing,48.64,12.61
DH,Landkreis Diepholz,DiepHolz,52.72,8.73
DI,Landkreis Darmstadt-Dieburg,DIeburg,49.898472222222,8.6755555555556
DIL,Lahn-Dill-Kreis,DILlenburg,50.560277777778,8.5001388888889
DIN,Kreis Wesel,DINslaken,51.65766,6.61537
DIZ,Rhein-Lahn-Kreis,DIeZ,50.33298753721,7.7070486545563
DKB,Landkreis Ansbach,DinKelsBühl,49.25,10.47
DL,Landkreis Mittelsachsen,DöbeLn,50.913097,13.354863
DLG,Landkreis Dillingen an der Donau,DilLinGen,48.6,10.53
DM,Landkreis Demmin,DemMin,53.8,13.04
DN,Kreis Düren,DüreN,50.8057,6.4879
DO,Dortmund,DOrtmund,51.514166666667,7.4638888888889
DON,Landkreis Donau-Ries,DONauwörth,48.773965,10.745877
DS,Schwarzwald-Baar-Kreis,DonaueSchingen,48.06,8.4677777777778
DU,Duisburg,DUisburg,51.433438,6.766144
DUD,Landkreis Göttingen,DUDerstadt,51.5,9.93
DÜW,Landkreis Bad Dürkheim,DÜrkheim an der Weinstraße,49.45,8.11
DW,Landkreis Sächsische Schweiz-Osterzgebirge,DippoldisWalde,50.92,13.87
DZ,Landkreis Nordsachsen,DelitZsch,51.47,12.78
E,Essen,Essen,51.458069444444,7.0147611111111
EA,Wartburgkreis,EisenAch,50.89,10.21
EB,Landkreis Nordsachsen,EilenBurg,51.47,12.78
EBE,Landkreis Ebersberg,EBErsberg,48.075645,11.969566
EBN,Landkreis Haßberge,EBerN,50.06,10.61
EBS,Landkreis Bayreuth,EBermannStadt,49.88,11.56
ECK,Kreis Rendsburg-Eckernförde,ECKernförde,54.29,9.78
ED,Landkreis Erding,ErDing,48.3,12
EE,Landkreis Elbe-Elster,"Elbe, Elster",51.6925,13.235555555556
EF,Erfurt,ErFurt,50.978055555556,11.029166666667
EG,Landkreis Rottal-Inn,EGgenfelden,48.42,12.87
EH,Landkreis Oder-Spree,EisenHüttenstadt,52.24,14.22
EI,Landkreis Eichstätt,EIchstätt,48.9,11.37
EIC,Landkreis Eichsfeld,EIChsfeld,51.38,10.25
EIL,Landkreis Mansfeld-Südharz,EIsLeben,51.54,11.36
EIN,Landkreis Northeim,EINbeck,51.74,9.85
EIS,Saale-Holzland-Kreis,EISenberg,50.92,11.75
EL,Landkreis Emsland,EmsLand,52.74,7.4
EM,Landkreis Emmendingen,EMmendingen,48.12,7.8486111111111
EMD,Emden,EMDen,53.366944444444,7.2055555555556
EMS,Rhein-Lahn-Kreis,EMS,50.33298753721,7.7070486545563
EN,Ennepe-Ruhr-Kreis,ENnepe,51.346666666667,7.3238888888889
ER,Erlangen,ERlangen,49.596361111111,11.004311111111
ERB,Odenwaldkreis,ERBach,49.663353649923,8.994015455246
ERH,Landkreis Erlangen-Höchstadt,"ERlangen, Höchstadt",49.64,10.91
ERK,Kreis Heinsberg,ERKelenz,51.061,6.1081
ERZ,Erzgebirgskreis,ERZgebirge,50.61,12.95
ES,Landkreis Esslingen,ESslingen,48.734166666667,9.3105555555556
ESB,Landkreis Amberg-Sulzbach,ESchenBach,49.49,11.8
ESW,Werra-Meißner-Kreis,ESchWege,51.188541666667,10.053333333333
EU,Kreis Euskirchen,EUskirchen,50.6692,6.7838
EW,Landkreis Barnim,EbersWalde,52.82,13.7
F,Frankfurt am Main,Frankfurt,50.110555555556,8.6822222222222
FB,Wetteraukreis,FriedBerg,50.333333333333,8.7524305555556
FD,Landkreis Fulda,FulDa,50.560138888889,9.6861111111111
FDB,Landkreis Aichach-Friedberg,FrieDBerg,48.43,11.05
FDS,Landkreis Freudenstadt,FreuDenStadt,48.461111111111,8.4180555555556
FEU,Landkreis Ansbach,FEUchtwangen,49.25,10.47
FF,Frankfurt (Oder),FrankFurt,52.342083333333,14.551666666667
FFB,Landkreis Fürstenfeldbruck,FürstenFeldBruck,48.19,11.2
FG,Landkreis Mittelsachsen,FreiberG,50.913097,13.354863
FI,Landkreis Elbe-Elster,FInsterwalde,51.6925,13.235555555556
FKB,Landkreis Waldeck-Frankenberg,FranKenBerg,51.269298,8.856665
FL,Flensburg,FLensburg,54.78276,9.43628
FLÖ,Landkreis Mittelsachsen,FLÖha,50.913097,13.354863
FN,Bodenseekreis,FriedrichshafeN,47.657777777778,9.4519444444444
FO,Landkreis Forchheim,FOrchheim,49.72,11.17
FOR,Landkreis Spree-Neiße,FORst,51.75,14.652777777778
FR,Freiburg im Breisgau,FReiburg,47.994828,7.849881
FRG,Landkreis Freyung-Grafenau,"FReyung, Grafenau",48.83,13.51
FRI,Landkreis Friesland,FRIesland,53.51,7.98
FRW,Landkreis Märkisch-Oderland,FReienWalde,52.61,14.15
FS,Landkreis Freising,FreiSing,48.45,11.74
FT,Frankenthal (Pfalz),FrankenThal,49.53537,8.35424
FTL,Landkreis Sächsische Schweiz-Osterzgebirge,FreiTaL,50.92,13.87
FÜ,Fürth,FÜrth,49.4774,10.98844
FÜS,Landkreis Ostallgäu,FÜSsen,47.77,10.64
FW,Landkreis Oder-Spree,FürstenWalde,52.24,14.22
FZ,Schwalm-Eder-Kreis,FritZlar,51.035,9.4008333333333
G,Gera,Gera,50.880555555556,12.083333333333
GA,Altmarkkreis Salzwedel,GArdelegen,52.68,11.23
GAN,Landkreis Northeim,GANdersheim,51.74,9.85
GAP,Landkreis Garmisch-Partenkirchen,GArmisch-Partenkirchen,47.56,11.13
GC,Landkreis Zwickau,GlauChau,50.75,12.53
GD,Ostalbkreis,GmünD,48.835,10.093333333333
GDB,Landkreis Gadebusch,GaDeBusch,50.555894,9.681372
GE,Gelsenkirchen,GElsenkirchen,51.511111111111,7.1005555555556
GEL,Kreis Kleve,GELdern,51.781,6.1382
GEO,Landkreis Haßberge,GErOlzhofen,50.06,10.61
GER,Landkreis Germersheim,GERmersheim,49.12,8.25
GF,Landkreis Gifhorn,GiFhorn,52.58,10.6
GG,Kreis Groß-Gerau,Groß-Gerau,49.912638888889,8.4783333333333
GHA,Landkreis Leipzig,GeitHAin,51.116666666667,12.5
GHC,Landkreis Wittenberg,GräfenHainiChen,51.82,12.7
GI,Landkreis Gießen,GIeßen,50.574930555556,8.7090277777778
GK,Kreis Heinsberg,GeilenKirchen,51.061,6.1081
GL,Rheinisch-Bergischer Kreis,GLadbach,50.9768,7.1432
GLA,Kreis Recklinghausen,GLAdbeck,51.608888888889,7.2047222222222
GM,Oberbergischer Kreis,GumMersbach,51.01,7.52
GMN,Landkreis Grimmen,GrimMeN,,
GN,Main-Kinzig-Kreis,GelnhauseN,50.201111111111,9.1975
GNT,Landkreis Jerichower Land,GeNThin,52.26,12.03
GÖ,Landkreis Göttingen,GÖttingen,51.5,9.93
GOA,Rhein-Hunsrück-Kreis,Sankt GOAr,50.04,7.5
GOH,Rhein-Lahn-Kreis,Sankt GOarsHausen,50.33298753721,7.7070486545563
GP,Landkreis Göppingen,GöpPingen,48.706111111111,9.6486111111111
GR,Landkreis Görlitz,GöRlitz,51.28,14.82
GRA,Landkreis Freyung-Grafenau,GRAfenau,48.83,13.51
GRH,Landkreis Meißen,GRoßenHain,51.166666666667,13.483333333333
GRI,Landkreis Rottal-Inn,GRIesbach,48.42,12.87
GRM,Landkreis Leipzig,GRimMa,51.116666666667,12.5
GRZ,Landkreis Greiz,GReiZ,50.75,12.07
GS,Landkreis Goslar,GoSlar,51.87,10.4
GT,Kreis Gütersloh,GüTersloh,51.93,8.35
GTH,Landkreis Gotha,GoTHa,50.91,10.69
GÜ,Landkreis Rostock,GÜstrow,53.91,12.25
GUB,Landkreis Spree-Neiße,GUBen,51.75,14.652777777778
GUN,Landkreis Weißenburg-Gunzenhausen,GUNzenhausen,49.03,10.89
GV,Rhein-Kreis Neuss,GreVenbroich,51.1966,6.6953
GVM,Kreis Grevesmühlen,GreVesMühlen,53.7,11.116666666667
GW,Landkreis Greifswald,GreifsWald,,
GZ,Landkreis Günzburg,GünZburg,48.35,10.38
H,Region Hannover,Hannover,52.42,9.72
HA,Hagen,HAgen,51.359444444444,7.475
HAB,Landkreis Bad Kissingen,HAmmelBurg,50.22,9.96
HAL,Halle (Saale),HALle,51.482777777778,11.97
HAM,Hamm,HAMm,51.68123,7.81913
HAS,Landkreis Haßberge,HASsfurt,50.06,10.61
HB,Bremen,Hansestadt Bremen,53.075877777778,8.8073111111111
HBN,Landkreis Hildburghausen,HildBurghauseN,50.43,10.73
HBS,Landkreis Harz,HalBerStadt,51.82,10.96
HC,Landkreis Mittelsachsen,HainiChen,50.913097,13.354863
HCH,Landkreis Freudenstadt,HeCHingen,48.461111111111,8.4180555555556
HD,Heidelberg,HeiDelberg,49.41032,8.69707
HDH,Landkreis Heidenheim,HeiDenHeim,48.681944444444,10.149444444444
HDL,Landkreis Börde,HalDensLeben,52.22,11.35
HE,Landkreis Helmstedt,HElmstedt,52.26,10.89
HEB,Landkreis Nürnberger Land,HErsBruck,49.49,11.37
HEF,Landkreis Hersfeld-Rotenburg,HErsFeld,50.871597222222,9.7160416666667
HEI,Kreis Dithmarschen,HEIde,54.13,9.11
HEL,"Hessen, Landesregierung",HEssischer Landtag,48.7025,9.6527777777778
HER,Herne,HERne,51.541944444444,7.2238888888889
HET,Landkreis Mansfeld-Südharz,HETtstedt,51.54,11.36
HF,Kreis Herford,HerFord,52.1682,8.6444
HG,Hochtaunuskreis,HomburG,50.215416666667,8.6163888888889
HGN,Landkreis Ludwigslust-Parchim,HaGeNow,53.45,11.55
HGW,Greifswald,Hansestadt GreifsWald,54.095833333333,13.381111111111
HH,Freie und Hansestadt Hamburg,Hansestadt Hamburg,53.550556,9.993333
HHM,Burgenlandkreis,HoHenMölsen,51.15,11.88
HI,Landkreis Hildesheim,HIldesheim,52.09,9.94
HIG,Landkreis Eichsfeld,HeilIGenstadt,51.38,10.25
HIP,Landkreis Roth,HIlPoltstein,49.2,11.12
HK,Landkreis Heidekreis,HeideKreis,52.92,9.75
HL,Lübeck,Hansestadt Lübeck,53.8677,10.68508
HM,Landkreis Hameln-Pyrmont,HaMeln,52.1,9.39
HMÜ,Landkreis Göttingen,Hann. MÜnden,51.5,9.93
HN,Heilbronn,HeilbronN,49.141666666667,9.2222222222222
HO,Hof,HOf,50.321944444444,11.918888888889
HOG,Landkreis Kassel,HOfGeismar,51.311111111111,9.4859027777778
HOH,Landkreis Haßberge,HOfHeim,50.06,10.61
HOL,Landkreis Holzminden,HOLzminden,51.88,9.55
HOM,Saarpfalz-Kreis,HOMburg,49.25,7.24
HOR,Landkreis Freudenstadt,HORb,48.461111111111,8.4180555555556
HÖS,Landkreis Erlangen-Höchstadt,HÖchStadt,49.64,10.91
HOT,Landkreis Zwickau,HOhensTein,50.75,12.53
HP,Landkreis Bergstraße,HepPenheim,49.640763888889,8.644375
HR,Schwalm-Eder-Kreis,HombeRg,51.035,9.4008333333333
HRO,Rostock,Hansestadt ROstock,54.08816,12.13468
HS,Kreis Heinsberg,HeinSberg,51.061,6.1081
HSK,Hochsauerlandkreis,HochSauerlandKreis,51.306666666667,8.3847222222222
HST,Stralsund,Hansestadt STralsund,54.313888888889,13.089722222222
HU,Hanau,HanaU,50.133333333333,8.9166666666667
HV,Landkreis Stendal,HaVelberg,52.7,11.84
HVL,Landkreis Havelland,HaVelLand,52.6075,12.3325
HWI,Wismar,Hansestadt WIsmar,53.888213888889,11.462016666667
HX,Kreis Höxter,HöXter,51.68,9.18
HY,Landkreis Bautzen,HoYerswerda,51.18,14.43
HZ,Landkreis Harz,HarZ,51.82,10.96
IGB,St. Ingbert,InGBert,49.278888888889,7.115
IK,Ilm-Kreis,Ilm-Kreis,50.74,10.97
IL,Ilm-Kreis,ILmenau,50.74,10.97
ILL,Landkreis Neu-Ulm,ILLertissen,48.3,10.14
IN,Ingolstadt,INgolstadt,48.76415,11.42434
IZ,Kreis Steinburg,ItZehoe,53.92,9.51
J,Jena,Jena,50.927205555556,11.586361111111
JB,Landkreis Teltow-Fläming,JüterBog,52.07,13.28
JE,Landkreis Wittenberg,JEssen,51.82,12.7
JL,Landkreis Jerichower Land,Jerichower Land,52.26,12.03
JÜL,Kreis Düren,JÜLich,50.8057,6.4879
K,Köln,Köln,50.938055555556,6.9569444444444
KA,Karlsruhe,KArlsruhe,49.014,8.4043
KB,Landkreis Waldeck-Frankenberg,KorBach,51.269298,8.856665
KC,Landkreis Kronach,KronaCh,50.33,11.37
KE,Kempten (Allgäu),KEmpten,47.733333333333,10.316666666667
KEH,Landkreis Kelheim,KElHeim,48.82,11.86
KEL,Ortenaukreis,KEhL,48.464722222222,7.9411111111111
KEM,Landkreis Bayreuth,KEMnath,49.88,11.56
KF,Kaufbeuren,KauFbeuren,47.881111111111,10.624166666667
KG,Landkreis Bad Kissingen,KissinGen,50.22,9.96
KH,Landkreis Bad Kreuznach,KreuznacH,49.82,7.69
KI,Kiel,KIel,54.32321,10.14019
KIB,Donnersbergkreis,KIrchheimBolanden,49.63,7.91
KK,Kreis Viersen,"Kempen, Krefeld",51.2585,6.3918
KL,Kaiserslautern,KaisersLautern,49.44371,7.76987
KLE,Kreis Kleve,KLEve,51.781,6.1382
KLZ,Altmarkkreis Salzwedel,KLötZe,52.68,11.23
KM,Landkreis Bautzen,KaMenz,51.18,14.43
KN,Landkreis Konstanz,KoNstanz,47.669166666667,9.1777777777778
KO,Koblenz,KOblenz,50.356666666667,7.5938888888889
KÖN,Landkreis Rhön-Grabfeld,KÖNigshofen,50.37,10.25
KÖT,Landkreis Anhalt-Bitterfeld,KÖThen,51.77,12.07
KÖZ,Landkreis Cham,KÖtZting,49.208539,12.667589
KR,Krefeld,KRefeld,51.33262,6.56238
KRU,Landkreis Günzburg,KRUmbach,48.35,10.38
KS,Landkreis Kassel,KasSel,51.311111111111,9.4859027777778
KT,Landkreis Kitzingen,KiTzingen,49.75,10.26
KU,Landkreis Kulmbach,KUlmbach,50.086666,11.397285
KÜN,Hohenlohekreis,KÜNzelsau,49.2775,9.6866666666667
KUS,Landkreis Kusel,KUSel,49.55,7.47
KW,Landkreis Dahme-Spreewald,Königs Wusterhausen,51.941944444444,13.896388888889
KY,Landkreis Ostprignitz-Ruppin,KYritz,52.991375,12.636131
KYF,Kyffhäuserkreis,KYFfhäuser,51.32,10.98
L,Leipzig,Leipzig,51.340333333333,12.37475
LA,Landshut,LAndshut,48.537222222222,12.152222222222
LAN,Landkreis Dingolfing-Landau,LANdau,48.64,12.61
LAU,Landkreis Nürnberger Land,LAUf,49.49,11.37
